,0,0
free,0.01411911703456893,0.0008718133718133718
entry,0.0017909204498125781,1.0020843354176688e-05
in,0.004872969596001666,0.01219536636203303
a,0.023698458975426905,0.01606341189674523
wkly,0.0007913369429404415,1.0020843354176688e-05
comp,0.0006247396917950854,1.0020843354176688e-05
to,0.04410662224073303,0.023278419111752446
win,0.004123281965847564,0.00019039602372935706
fa,0.00037484381507705124,1.0020843354176688e-05
cup,0.0004581424406497293,5.0104216770883436e-05
final,0.0012078300708038318,5.0104216770883436e-05
tkts,0.00037484381507705124,1.0020843354176688e-05
st,0.0020408163265306124,0.00033068783068783067
may,0.0005414410662224074,0.0006112714446047779
text,0.007538525614327363,0.0010722302388969055
receive,0.0020408163265306124,0.00011022927689594356
questionstd,0.00020824656393169514,1.0020843354176688e-05
txt,0.010037484381507705,0.00015031265031265032
ratetcs,0.00020824656393169514,1.0020843354176688e-05
apply,0.0019575177009579343,5.0104216770883436e-05
overs,0.00020824656393169514,1.0020843354176688e-05
freemsg,0.0007913369429404415,1.0020843354176688e-05
hey,0.0004581424406497293,0.0015131473464806797
there,0.0007913369429404415,0.0028960237293570628
darling,0.00020824656393169514,5.0104216770883436e-05
its,0.0007080383173677634,0.0043991502324835655
been,0.0027072053311120365,0.0013528138528138528
weeks,0.0009579341940857976,9.018759018759019e-05
now,0.012619741774260725,0.004278900112233445
and,0.008704706372344856,0.01291686708353375
no,0.004289879216992919,0.0042588584255250925
word,0.0014577259475218659,0.00021043771043771043
back,0.0017076218242399,0.0018738977072310405
id,0.00012494793835901707,0.00043089626422959757
like,0.0007913369429404415,0.0035774410774410776
some,0.0004581424406497293,0.0017536475869809204
fun,0.0007080383173677634,0.00029060445727112393
you,0.017784256559766762,0.028429132595799263
up,0.001541024573094544,0.004278900112233445
for,0.01236984589754269,0.007706028539361873
it,0.001874219075385256,0.008748196248196248
still,0.0005414410662224074,0.002274731441398108
tb,0.00012494793835901707,5.0104216770883436e-05
ok,0.00037484381507705124,0.0044392336059002726
xxx,0.0010412328196584756,0.00033068783068783067
std,0.0006247396917950854,1.0020843354176688e-05
chgs,0.00012494793835901707,1.0020843354176688e-05
send,0.004123281965847564,0.0019340227673561006
rcv,0.0002915451895043732,1.0020843354176688e-05
winner,0.0011245314452311536,1.0020843354176688e-05
as,0.0022074135776759683,0.0024551066217732885
valued,0.0007080383173677634,5.0104216770883436e-05
network,0.001541024573094544,9.018759018759019e-05
customer,0.003206997084548105,0.00015031265031265032
have,0.0085381091211995,0.0067841109507776175
selected,0.001624323198667222,7.014590347923682e-05
receivea,0.00012494793835901707,1.0020843354176688e-05
prize,0.006122448979591836,1.0020843354176688e-05
reward,0.00020824656393169514,1.0020843354176688e-05
claim,0.007205331112036651,1.0020843354176688e-05
call,0.021949187838400667,0.003497274330607664
code,0.001624323198667222,3.0062530062530064e-05
kl,0.00012494793835901707,1.0020843354176688e-05
valid,0.0014577259475218659,1.0020843354176688e-05
hours,0.0002915451895043732,0.00027056277056277056
only,0.005372761349437734,0.0018137726471059805
had,0.0007913369429404415,0.0013127304793971461
your,0.015618492294877134,0.006122735289401956
mobile,0.007122032486463974,0.00019039602372935706
months,0.0004581424406497293,0.00019039602372935706
or,0.01153685964181591,0.0033770242103575436
more,0.00212411495210329,0.001092271925605259
u,0.01062057476051645,0.01446007696007696
r,0.001374427321949188,0.0020141895141895143
entitled,0.00037484381507705124,1.0020843354176688e-05
update,0.0011245314452311536,5.0104216770883436e-05
the,0.01278633902540608,0.016824995991662657
latest,0.0019575177009579343,7.014590347923682e-05
colour,0.0008746355685131195,7.014590347923682e-05
mobiles,0.0007913369429404415,1.0020843354176688e-05
with,0.0066222407330279055,0.004078483245149912
camera,0.0020408163265306124,5.0104216770883436e-05
co,0.00037484381507705124,3.0062530062530064e-05
on,0.009454394002498959,0.006002485169151836
six,0.00020824656393169514,3.0062530062530064e-05
chances,0.00020824656393169514,1.0020843354176688e-05
cash,0.003873386089129529,0.0001703543370210037
from,0.007955018742190754,0.0023148148148148147
pounds,0.0010412328196584756,3.0062530062530064e-05
csh,0.00020824656393169514,1.0020843354176688e-05
cost,0.0017909204498125781,0.00021043771043771043
pday,0.00020824656393169514,1.0020843354176688e-05
days,0.0009579341940857976,0.00039081289081289083
tsandcs,0.00020824656393169514,1.0020843354176688e-05
reply,0.0066222407330279055,0.0006914381914381914
hl,0.0004581424406497293,1.0020843354176688e-05
info,0.0007080383173677634,3.0062530062530064e-05
urgent,0.003873386089129529,5.0104216770883436e-05
won,0.00470637234485631,1.0020843354176688e-05
week,0.003290295710120783,0.0008517716851050185
membership,0.00012494793835901707,3.0062530062530064e-05
our,0.0051228654727197,0.000992063492063492
jackpot,0.00012494793835901707,1.0020843354176688e-05
tc,0.0010412328196584756,1.0020843354176688e-05
wwwdbuknet,0.00012494793835901707,1.0020843354176688e-05
lccltd,0.00012494793835901707,1.0020843354176688e-05
pobox,0.0017909204498125781,1.0020843354176688e-05
ldnwarw,0.00012494793835901707,1.0020843354176688e-05
xxxmobilemovieclub,0.00012494793835901707,1.0020843354176688e-05
use,0.0004581424406497293,0.000511063011063011
credit,0.0007080383173677634,9.018759018759019e-05
click,0.00037484381507705124,3.0062530062530064e-05
wap,0.0007913369429404415,1.0020843354176688e-05
link,0.00037484381507705124,5.0104216770883436e-05
next,0.0010412328196584756,0.0005511463844797178
message,0.0020408163265306124,0.0008718133718133718
